"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-01","0.00","67","83","52"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-02","0.00","66","81","53"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-03","0.00","66","78","52"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-04","0.00","64","77","53"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-05","0.00","64","76","51"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-06","0.00","66","78","53"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-07","0.00","68","81","54"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-08","0.00","68","85","56"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-09","0.00","68","82","54"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-10","0.00","68","82","56"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-11","0.00","72","82","57"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-12",,"67","76",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-13","0.00","62","74","52"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-14","0.00","61","74",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-15","0.00","59","73","43"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-16",,"63","77",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-17","0.00","63","79","48"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-18","0.00","64","80","48"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-19","0.00","65","80","49"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-20","0.00","64","77",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-21","0.00","65","76",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-22",,"63","74",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-23","0.00","62","74","47"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-24","0.00","60","73","47"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-25","0.00","59","74","45"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-26","0.00","61","73","46"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-27","0.00","62","74","48"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-28","0.00","64","78","49"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-29","0.00","66","80","51"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-30","0.00","66","81","51"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-01-31","0.00","68","78","54"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-01","0.00","65","80","54"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-02","0.00","66","85","49"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-03","0.00","69","85","49"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-04","0.00","71","86","52"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-05","0.00","73","83","56"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-06","0.00","76","90","60"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-07","0.00","72","88","57"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-08","0.00","74","87","59"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-09","0.00","76","84",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-10","0.00","75","84","69"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-11","0.00","76","90",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-12","0.00","74","87",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-13","0.00","71","87","55"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-14","0.00","73","90","56"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-15","0.00","73","89","58"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-16","0.00","74","90","59"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-17","0.00","73","91","57"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-18","0.00","73","93","57"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-19","0.00","73","91","57"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-20","0.00","77","88",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-21","0.00","78","92","68"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-22","0.00","76","83","70"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-23","0.00","75","88","63"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-24","0.00","76","87",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-25","0.00","77","90","63"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-26","0.00","78","92","68"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-27","0.00","78","94","64"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-02-28","0.00","77","93","63"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-01","0.00","78","90","65"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-02","0.00","80","93","66"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-03",,"84","94",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-04","0.00","82","96","70"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-05","0.00","84","97",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-06","0.00","82","96","69"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-07","0.00","81","96","68"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-08","0.00","81","96","66"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-09","0.00","82","97","67"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-10","0.00","81","98","66"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-11","0.00","82","98","65"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-12","0.00","82","96","69"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-13","0.00","80","96","64"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-14","0.00","80","92","68"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-15","0.00","81","88","73"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-16","0.00","81","89","73"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-17","0.00","82","91","76"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-18","0.00","81","92","72"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-19","0.00","80","90","69"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-20","0.00","78","88",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-21","0.01","78","90","65"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-22","0.00","78","88","69"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-23","0.01","76","81","72"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-24","0.17","79","89","72"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-25","0.00","80","88","72"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-26","0.00","80","90","68"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-27","0.00","82","93","70"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-28","0.00","80","89","73"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-29","0.00","81","88","75"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-30","0.04","81","88",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-03-31","0.00","81","88",
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-01","0.00","81","90","73"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-02","0.00","80","88","74"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-03","0.00","81","89","75"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-04","0.00","80","90","73"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-05","0.00","81","94","72"
"PKM00041780","JINNAH INTERNATIONAL, PK","2023-04-06","0.00","81","92","71"
